feature_name,feature_present,cad_size_mm,measured_size_mm,deviation_mm,tolerance_mm,status,unit
hole #1,YES,2.25,2.4637,0.2137,0.1,FAIL,mm (radius)
hole #1_dia,YES,4.5,4.9274,0.4274,0.2,FAIL,mm (diameter)
hole #2,YES,1.65,1.7679,0.1179,0.1,FAIL,mm (radius)
hole #2_dia,YES,3.3,3.5358,0.2358,0.2,FAIL,mm (diameter)
hole #3,YES,1.65,1.7679,0.1179,0.1,FAIL,mm (radius)
hole #3_dia,YES,3.3,3.5358,0.2358,0.2,FAIL,mm (diameter)
hole #4,YES,1.65,1.9048,0.2548,0.1,FAIL,mm (radius)
hole #4_dia,YES,3.3,3.8096,0.5096,0.2,FAIL,mm (diameter)
hole #5,YES,2.25,2.3952,0.1452,0.1,FAIL,mm (radius)
hole #5_dia,YES,4.5,4.7905,0.2905,0.2,FAIL,mm (diameter)
hole #6,YES,2.25,2.2926,0.0426,0.1,PASS,mm (radius)
hole #6_dia,YES,4.5,4.5852,0.0852,0.2,PASS,mm (diameter)
hole #7,YES,2.6,2.8173,0.2173,0.1,FAIL,mm (radius)
hole #7_dia,YES,5.2,5.6345,0.4345,0.2,FAIL,mm (diameter)
hole #8,YES,2.6,2.8857,0.2857,0.1,FAIL,mm (radius)
hole #8_dia,YES,5.2,5.7714,0.5714,0.2,FAIL,mm (diameter)
hole #9,YES,2.6,2.8515,0.2515,0.1,FAIL,mm (radius)
hole #9_dia,YES,5.2,5.703,0.503,0.2,FAIL,mm (diameter)
hole #10,YES,2.6,2.9884,0.3884,0.1,FAIL,mm (radius)
hole #10_dia,YES,5.2,5.9767,0.7767,0.2,FAIL,mm (diameter)
hole #11,YES,2.6,2.7488,0.1488,0.1,FAIL,mm (radius)
hole #11_dia,YES,5.2,5.4977,0.2977,0.2,FAIL,mm (diameter)
hole #12,YES,2.6,3.0568,0.4568,0.1,FAIL,mm (radius)
hole #12_dia,YES,5.2,6.1136,0.9136,0.2,FAIL,mm (diameter)
hole #13,YES,2.6,2.8515,0.2515,0.1,FAIL,mm (radius)
hole #13_dia,YES,5.2,5.703,0.503,0.2,FAIL,mm (diameter)
hole #14,YES,2.6,2.6462,0.0462,0.1,PASS,mm (radius)
hole #14_dia,YES,5.2,5.2923,0.0923,0.2,PASS,mm (diameter)
hole #15,YES,2.6,2.5777,-0.0223,0.1,PASS,mm (radius)
hole #15_dia,YES,5.2,5.1555,-0.0445,0.2,PASS,mm (diameter)
hole #16,YES,2.6,2.5777,-0.0223,0.1,PASS,mm (radius)
hole #16_dia,YES,5.2,5.1555,-0.0445,0.2,PASS,mm (diameter)
hole #17,YES,2.6,2.783,0.183,0.1,FAIL,mm (radius)
hole #17_dia,YES,5.2,5.5661,0.3661,0.2,FAIL,mm (diameter)
hole #18,YES,2.6,1.6881,-0.9119,0.1,FAIL,mm (radius)
hole #18_dia,YES,5.2,3.3762,-1.8238,0.2,FAIL,mm (diameter)
center_bore,NO,29.0,29.0851,0.0851,0.3,PASS,mm
pcd,NO,95.3684,95.5766,0.2082,0.5,PASS,mm
