feature_name,feature_present,cad_size_mm,measured_size_mm,deviation_mm,tolerance_mm,status,unit
hole #1,YES,2.25,2.4601,0.2101,0.1,FAIL,mm (radius)
hole #1_dia,YES,4.5,4.9202,0.4202,0.2,FAIL,mm (diameter)
hole #2,YES,1.65,1.7312,0.0812,0.1,PASS,mm (radius)
hole #2_dia,YES,3.3,3.4624,0.1624,0.2,PASS,mm (diameter)
hole #3,YES,1.65,1.7995,0.1495,0.1,FAIL,mm (radius)
hole #3_dia,YES,3.3,3.5991,0.2991,0.2,FAIL,mm (diameter)
hole #4,YES,1.65,1.7312,0.0812,0.1,PASS,mm (radius)
hole #4_dia,YES,3.3,3.4624,0.1624,0.2,PASS,mm (diameter)
hole #5,YES,2.25,2.7335,0.4835,0.1,FAIL,mm (radius)
hole #5_dia,YES,4.5,5.4669,0.9669,0.2,FAIL,mm (diameter)
hole #6,YES,2.25,2.3234,0.0734,0.1,PASS,mm (radius)
hole #6_dia,YES,4.5,4.6469,0.1469,0.2,PASS,mm (diameter)
hole #7,YES,2.6,2.8132,0.2132,0.1,FAIL,mm (radius)
hole #7_dia,YES,5.2,5.6264,0.4264,0.2,FAIL,mm (diameter)
hole #8,YES,2.6,2.8474,0.2474,0.1,FAIL,mm (radius)
hole #8_dia,YES,5.2,5.6947,0.4947,0.2,FAIL,mm (diameter)
hole #9,YES,2.6,2.8815,0.2815,0.1,FAIL,mm (radius)
hole #9_dia,YES,5.2,5.763,0.563,0.2,FAIL,mm (diameter)
hole #10,YES,2.6,2.6423,0.0423,0.1,PASS,mm (radius)
hole #10_dia,YES,5.2,5.2847,0.0847,0.2,PASS,mm (diameter)
hole #11,YES,2.6,2.7107,0.1107,0.1,FAIL,mm (radius)
hole #11_dia,YES,5.2,5.4214,0.2214,0.2,FAIL,mm (diameter)
hole #12,YES,2.6,3.0524,0.4524,0.1,FAIL,mm (radius)
hole #12_dia,YES,5.2,6.1047,0.9047,0.2,FAIL,mm (diameter)
hole #13,YES,2.6,2.8474,0.2474,0.1,FAIL,mm (radius)
hole #13_dia,YES,5.2,5.6947,0.4947,0.2,FAIL,mm (diameter)
hole #14,YES,2.6,2.6423,0.0423,0.1,PASS,mm (radius)
hole #14_dia,YES,5.2,5.2847,0.0847,0.2,PASS,mm (diameter)
hole #15,YES,2.6,2.5398,-0.0602,0.1,PASS,mm (radius)
hole #15_dia,YES,5.2,5.0797,-0.1203,0.2,PASS,mm (diameter)
hole #16,YES,2.6,2.8474,0.2474,0.1,FAIL,mm (radius)
hole #16_dia,YES,5.2,5.6947,0.4947,0.2,FAIL,mm (diameter)
hole #17,YES,2.6,2.7448,0.1448,0.1,FAIL,mm (radius)
hole #17_dia,YES,5.2,5.4897,0.2897,0.2,FAIL,mm (diameter)
hole #18,YES,2.6,1.6856,-0.9144,0.1,FAIL,mm (radius)
hole #18_dia,YES,5.2,3.3713,-1.8287,0.2,FAIL,mm (diameter)
center_bore,NO,29.0,29.043,0.043,0.3,PASS,mm
pcd,NO,95.3684,95.4235,0.0551,0.5,PASS,mm
